shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,hihokenshaNo,A
rirekiNo,bpchar,RString,,,,,rirekiNo,A
edaban,bpchar,RString,,,,,edaban,A
shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,shinseishoKanriNo,A
shinseiJokyoKubun,bpchar,RString,,,,,shinseiJokyoKubun,A
shishoCode,varchar,RString,,,,,shishoCode,A
chokkinFlag,bool,boolean,,,,,chokkinFlag,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
jukyuShinseiJiyu,UDD035Code,Code,,,,,jukyuShinseiJiyu,A
shinseiRiyu,text,RString,,,,,shinseiRiyu,A
shinseishaKankeiCode,UDD035Code,Code,,,,,shinseishaKankeiCode,A
homninKankei,varchar,RString,,,,,homninKankei,A
jukyuShinseiYMD,UDD015YMD,FlexibleDate,,,,,jukyuShinseiYMD,A
nigoTokuteiShippeiCode,UDD035Code,Code,,,,,nigoTokuteiShippeiCode,A
shinsakaiIraiYMD,UDD015YMD,FlexibleDate,,,,,shinsakaiIraiYMD,A
yokaigoJotaiKubunCode,UDD035Code,Code,,,,,yokaigoJotaiKubunCode,A
ninteiYukoKikanKaishiYMD,UDD015YMD,FlexibleDate,,,,,ninteiYukoKikanKaishiYMD,A
ninteiYukoKikanShuryoYMD,UDD015YMD,FlexibleDate,,,,,ninteiYukoKikanShuryoYMD,A
ninteiYMD,UDD015YMD,FlexibleDate,,,,,ninteiYMD,A
shiteiServiceShurui01,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui01,A
shiteiServiceShurui02,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui02,A
shiteiServiceShurui03,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,shiteiServiceShurui03,A
