shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,hihokenshaNo,A
shikakuShutokuJiyuCode,varchar,RString,,,,,shikakuShutokuJiyuCode,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,shikakuShutokuYMD,A
hihokennshaKubunCode,varchar,Code,,,,,hihokennshaKubunCode,A
shikakuSoshitsuJiyuCode,varchar,RString,,,,,shikakuSoshitsuJiyuCode,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,shikakuSoshitsuYMD,A
jushochiTokureiFlag,varchar,RString,,,,,jushochiTokureiFlag,A
shikakuHenkoJiyuCode,varchar,RString,,,,,shikakuHenkoJiyuCode,A
shikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,shikakuHenkoYMD,A
jushochitokureiTekiyoJiyuCode,varchar,RString,,,,,jushochitokureiTekiyoJiyuCode,A
jushochitokureiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiTekiyoYMD,A
jushochitokureiKaijoJiyuCode,varchar,RString,,,,,jushochitokureiKaijoJiyuCode,A
jushochitokureiKaijoYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiKaijoYMD,A
koikinaiJushochiTokureiFlag,varchar,RString,,,,,koikinaiJushochiTokureiFlag,A
koikinaiTokureiSochimotoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,koikinaiTokureiSochimotoShichosonCode,A
tekiyoJogaiTekiyoJiyuCode,varchar,RString,,,,,tekiyoJogaiTekiyoJiyuCode,A
tekiyoJogaiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,tekiyoJogaiTekiyoYMD,A
tekiyoJogaikaijokaijoJiyuCode,varchar,RString,,,,,tekiyoJogaikaijokaijoJiyuCode,A
tekiyoJogaiKaijoYMD,UDD015YMD,FlexibleDate,,,,,tekiyoJogaiKaijoYMD,A
tatokureiTekiyoJiyuCode,varchar,RString,,,,,tatokureiTekiyoJiyuCode,A
tatokureiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,tatokureiTekiyoYMD,A
tatokureiKaijoJiyuCode,varchar,RString,,,,,tatokureiKaijoJiyuCode,A
tatokureiKaijoYMD,UDD015YMD,FlexibleDate,,,,,tatokureiKaijoYMD,A
JukyushaDaichoHihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,JukyushaDaichoHihokenshaNo,A
