hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動日,A
edaNo,bpchar,RString,,,,,枝番,A
idoJiyuCode,varchar,RString,,,,,異動事由コード,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
shikakuShutokuJiyuCode,varchar,RString,,,,,資格取得事由コード,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,資格取得年月日,A
shikakuShutokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格取得届出年月日,A
ichigoShikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,第1号資格取得年月日,A
hihokennshaKubunCode,varchar,RString,,,,,被保険者区分コード,A
shikakuSoshitsuJiyuCode,varchar,RString,,,,,資格喪失事由コード,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,資格喪失年月日,A
shikakuSoshitsuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格喪失届出年月日,A
shikakuHenkoJiyuCode,varchar,RString,,,,,資格変更事由コード,A
shikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,資格変更年月日,A
shikakuHenkoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格変更届出年月日,A
jushochitokureiTekiyoJiyuCode,varchar,RString,,,,,住所地特例適用事由コード,A
jushochitokureiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,適用年月日,A
jushochitokureiTekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,適用届出年月日,A
jushochitokureiKaijoJiyuCode,varchar,RString,,,,,住所地特例解除事由コード,A
jushochitokureiKaijoYMD,UDD015YMD,FlexibleDate,,,,,解除年月日,A
jushochitokureiKaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,解除届出年月日,A
jushochiTokureiFlag,varchar,RString,,,,,住所地特例フラグ,A
koikinaiJushochiTokureiFlag,varchar,RString,,,,,広域内住所地特例フラグ,A
koikinaiTokureiSochimotoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,広住特措置元市町村コード,A
kyuShichosonCode,UDD023LasdecCode,LasdecCode,,,,,旧市町村コード,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
