shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動日,A
edaNo,bpchar,RString,,,,,枝番,A
idoJiyuCode,varchar,RString,,,,,異動事由コード,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
tekiyoJiyuCode,varchar,KaigoshikakuShutokuJiyuTatokuTekiyo,,,,,他市町村住所地特例適用事由コード,A
tekiyoYMD,UDD015YMD,FlexibleDate,,,,,適用年月日,A
tekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,適用届出年月日,A
tekiyoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,適用受付年月日,A
kaijoJiyuCode,varchar,KaigoshikakuSoshitsuJiyuTatokuTekiyo,,,,,他市町村住所地特例解除事由コード,A
kaijoYMD,UDD015YMD,FlexibleDate,,,,,解除年月日,A
kaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,解除届出年月日,A
kaijoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,解除受付年月日,A
sochiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,措置保険者番号,A
sochiHihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,措置被保険者番号,A
tatokuRenrakuhyoHakkoYMD,UDD015YMD,FlexibleDate,,,,,他特例連絡票発行年月日,A
shisetsuTaishoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,施設退所通知発行年月日,A
shisetsuHenkoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,施設変更通知発行年月日,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
