jigyoshaShubetsu,varchar,RString,,,,,A
jigyoshaNo,varchar,RString,,,,,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kannaiKangaiKubun,bpchar,RString,,,,,A
jigyoshaMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,A
jigyoshaKanaMeisho,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
yubinNo,UDD003YubinNo,YubinNo,,,,,A
jigyoshaJusho,varchar,RString,,,,,A
jigyoshaKanaJusho,varchar,RString,,,,,A
telNo,UDD026TelNo,TelNo,,,,,A
faxNo,UDD026TelNo,TelNo,,,,,A
idoJiyuCode,varchar,RString,,,,,A
idoYMD,UDD015YMD,FlexibleDate,,,,,A
daihyoshaMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,A
daihyoshaKanaMeisho,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
yakushoku,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
jigyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoKyushiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoHaishiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoSaikaiYMD,UDD015YMD,FlexibleDate,,,,,A
