hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
linkNo,int2,int,,,,,リンク番号,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,申請年月日,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,受付年月日,A
shinsei_HaishiKubun,varchar,RString,,,,,申請・廃止区分,A
shinsei_HaishiYMD,UDD015YMD,FlexibleDate,,,,,申請・廃止年月日,A
hogoHuyoKonkyoGengakuKingaku,numeric,Decimal,,,,,保護不要根拠減額金額,A
kyokaisoShomeishoKofuYMD,UDD015YMD,FlexibleDate,,,,,境界層証明書交付年月日,A
kyufuGengakuTorikeshi_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,給付額減額取消・減額自己負担月額,A
kyojuhiKeigen_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,居住費軽減・減額自己負担月額,A
kyojuhiKeigen_FutangendogakuDankaiCode,varchar,RString,,,,,居住費軽減・負担限度額段階コード,A
shokuhiKeigen_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,食費軽減・減額自己負担月額,A
shokuhiKeigen_FutangendogakuDankaiCode,varchar,RString,,,,,食費軽減・負担限度額段階コード,A
riyoshaFutanSetaiGassanGaku_GengakuJokofutanGetsugaku,numeric,Decimal,,,,,利用者負担世帯合算額・減額自己負担月額,A
hokenryoGengaku_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,保険料減額・減額自己負担月額,A
gengakuJikofutanGetsugakuGokeigaku,numeric,Decimal,,,,,減額自己負担月額合計額,A
kyukaisoSochiKetteiYMD,UDD015YMD,FlexibleDate,,,,,境界層措置決定年月日,A
sochiGaito_HigaitoKubun,varchar,RString,,,,,措置該当・非該当区分,A
logicalDeletedFlag,bool,boolean,,,,,論理削除フラグ,A
