shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
taishogaiFlag,bool,boolean,,,,,対象外フラグ,A
fuseigoRiyuCode,varchar,RString,,,,,不整合理由コード,A
torokuTimestamp,UDD019Timestamp,RDateTime,,,,,登録日時,A
rierkiNo,int2,int,,,,,履歴番号,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動年月日,A
todokedeYMD,UDD015YMD,FlexibleDate,,,,,届出年月日,A
idoJiyuCode,varchar,RString,,,,,異動事由コード,A
shoriJiyuCode,varchar,RString,,,,,処理事由コード,A
shoriYMD,UDD015YMD,FlexibleDate,,,,,処理年月日,A
juminShubetsuCode,varchar,RString,,,,,住民種別コード,A
juminJotaiCode,varchar,RString,,,,,住民状態コード,A
seinengappiYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
torokuJiyuCode,varchar,RString,,,,,登録事由コード,A
torokuIdoYMD,UDD015YMD,FlexibleDate,,,,,登録異動年月日,A
torokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,登録届出年月日,A
shojoJiyuCode,varchar,RString,,,,,消除事由コード,A
shojoIdoYMD,UDD015YMD,FlexibleDate,,,,,消除異動年月日,A
shojoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,消除届出年月日,A
shojoTsuchiFlag,bool,boolean,,,,,消除通知フラグ,A
tenshutsuYoteiIdoYMD,UDD015YMD,FlexibleDate,,,,,転出予定異動年月日,A
tenshutsuKakuteiIdoYMD,UDD015YMD,FlexibleDate,,,,,転出確定異動年月日,A
tenshutsuKakuteiTsuchiYMD,UDD015YMD,FlexibleDate,,,,,転出確定通知年月日,A
daichoShubetsu,varchar,RString,,,,,台帳種別,A
shikakuIdoYMD,UDD015YMD,FlexibleDate,,,,,資格異動日,A
shikakuIdoEdaNo,varchar,RString,,,,,資格異動枝番,A
shikakuIdoJiyuCode,varchar,RString,,,,,資格異動事由コード,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shutokuTekiyoJiyuCode,varchar,RString,,,,,取得適用事由コード,A
shutokuTekiyoYMD,UDD015YMD,FlexibleDate,,,,,取得適用年月日,A
shutokuTekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,取得適用届出年月日,A
soshitsuKaijoJiyuCode,varchar,RString,,,,,喪失解除事由コード,A
soshitsuKaijoYMD,UDD015YMD,FlexibleDate,,,,,喪失解除年月日,A
soshitsuKaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,喪失解除届出年月日,A
ichigoShutokuYMD,UDD015YMD,FlexibleDate,,,,,第１号取得年月日,A
hihokenshaKubunCode,varchar,RString,,,,,被保険者区分コード,A
shikakuHenkoJiyuCode,varchar,RString,,,,,資格変更事由コード,A
shikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,資格変更年月日,A
shikakuHenkoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,資格変更届出年月日,A
jutokuTekiyoJiyuCode,varchar,RString,,,,,住特適用事由コード,A
jutokuTekiyoYMD,UDD015YMD,FlexibleDate,,,,,住特適用年月日,A
jutokuTekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,住特適用届出年月日,A
jutokuKaijoJiyuCode,varchar,RString,,,,,住特解除事由コード,A
jutokuKaijoYMD,UDD015YMD,FlexibleDate,,,,,住特解除年月日,A
jutokuKaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,住特解除届出年月日,A
