shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
rirekiNo,bpchar,RString,,,,,履歴番号,A
edaban,bpchar,RString,,,,,枝番,A
shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
shinseiJokyoKubun,bpchar,RString,,,,,申請状況区分,A
shishoCode,varchar,RString,,,,,支所コード,A
chokkinFlag,bool,boolean,,,,,直近フラグ,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
jukyuShinseiJiyu,UDD035Code,Code,,,,,受給申請事由,A
shinseiRiyu,text,RString,,,,,申請理由,A
shinseishaKankeiCode,UDD035Code,Code,,,,,（届出者）申請者関係コード,A
homninKankei,varchar,RString,,,,,（届出者）本人との関係,A
jukyuShinseiYMD,UDD015YMD,FlexibleDate,,,,,受給申請年月日,A
nigoTokuteiShippeiCode,UDD035Code,Code,,,,,２号特定疾病コード,A
shinsakaiIraiYMD,UDD015YMD,FlexibleDate,,,,,審査会依頼年月日,A
yokaigoJotaiKubunCode,UDD035Code,Code,,,,,要介護認定状態区分コード,A
ninteiYukoKikanKaishiYMD,UDD015YMD,FlexibleDate,,,,,認定有効期間開始年月日,A
ninteiYukoKikanShuryoYMD,UDD015YMD,FlexibleDate,,,,,認定有効期間終了年月日,A
ninteiYMD,UDD015YMD,FlexibleDate,,,,,認定年月日,A
minashiCode,UDD035Code,Code,,,,,みなし要介護区分コード,A
shiteiServiceShurui01,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類01,A
shiteiServiceShurui02,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類02,A
shiteiServiceShurui03,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類03,A
shiteiServiceShurui04,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類04,A
shiteiServiceShurui05,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類05,A
shiteiServiceShurui06,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類06,A
shiteiServiceShurui07,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類07,A
shiteiServiceShurui08,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類08,A
shiteiServiceShurui09,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類09,A
shiteiServiceShurui10,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類10,A
shiteiServiceShurui11,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類11,A
shiteiServiceShurui12,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類12,A
shiteiServiceShurui13,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類13,A
shiteiServiceShurui14,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類14,A
shiteiServiceShurui15,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,指定サービス種類15,A
