shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,申請書管理番号,A
ninteichosaRirekiNo,int2,int,,,,,認定調査依頼履歴番号,A
gaikyoChosaTextImageKubun,bpchar,RString,,,,,gaikyoChosaTextImageKubun,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,koroshoIfShikibetsuCode,A
ninteichousaIraiKubunCode,UDD035Code,Code,,,,,ninteichousaIraiKubunCode,A
ninteichosaIraiKaisu,int2,int,,,,,ninteichosaIraiKaisu,A
ninteichosaJisshiYMD,UDD015YMD,FlexibleDate,,,,,ninteichosaJisshiYMD,A
ninteichosaJuryoYMD,UDD015YMD,FlexibleDate,,,,,ninteichosaJuryoYMD,A
ninteiChosaKubunCode,UDD035Code,Code,,,,,ninteiChosaKubunCode,A
chosaItakusakiCode,DbUDD004JigyoshaNo,JigyoshaNo,,,,,chosaItakusakiCode,A
chosainCode,varchar,RString,,,,,chosainCode,A
chosaJisshiBashoCode,UDD035Code,Code,,,,,chosaJisshiBashoCode,A
chosaJisshiBashoMeisho,varchar,RString,,,,,chosaJisshiBashoMeisho,A
serviceKubunCode,UDD035Code,Code,,,,,serviceKubunCode,A
riyoShisetsuShimei,varchar,RString,,,,,riyoShisetsuShimei,A
riyoShisetsuJusho,varchar,RString,,,,,riyoShisetsuJusho,A
riyoShisetsuTelNo,varchar,RString,,,,,riyoShisetsuTelNo,A
riyoShisetsuYubinNo,UDD003YubinNo,YubinNo,,,,,riyoShisetsuYubinNo,A
tokki,text,RString,,,,,tokki,A
tokkijikoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,tokkijikoUketsukeYMD,A
tokkijikoJuryoYMD,UDD015YMD,FlexibleDate,,,,,tokkijikoJuryoYMD,A
