shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,申請書管理番号,A
renban,int2,int,,,,,連番,A
renrakusakiKubunNo,bpchar,RString,,,,,連絡先区分,A
shishoCode,DbUDD014ShishoCode,ShishoCode,,,,,支所コード,A
renrakusakiShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,連絡先氏名,A
renrakusakiKanaSimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,連絡先氏名カナ,A
renrakusakiTuzukigara,varchar,RString,,,,,連絡先続柄,A
renrakusakiYubinNo,UDD003YubinNo,YubinNo,,,,,連絡先郵便番号,A
renrakusakiJusho,UDD046AtenaJusho,AtenaJusho,,,,,連絡先住所,A
renrakusakiTelNo,UDD026TelNo,TelNo,,,,,連絡先電話番号,A
renrakusakiKeitaiTelNo,UDD026TelNo,TelNo,,,,,連絡先携帯番号,A
priority,int2,int,,,,,優先順位,A
