ninteiChosaYoteiYMD,UDD015YMD,FlexibleDate,,,,,認定調査予定年月日,A
ninteiChosaYoteiKaishiTime,varchar,RString,,,,,認定調査予定開始時間,A
ninteiChosaYoteiShuryoTime,varchar,RString,,,,,認定調査予定終了時間,A
ninteiChosaJikanWaku,UDD035Code,Code,,,,,認定調査時間枠,A
chosaChikuCode,UDD035Code,Code,,,,,調査地区コード,A
ninteiChosaItakusakiCode,varchar,RString,,,,,認定調査委託先コード,A
ninteiChosainCode,varchar,RString,,,,,認定調査員コード,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
yoyakuJokyo,UDD035Code,Code,,,,,予約状況,A
yoyakuKaoFlag,bool,boolean,,,,,予約可能フラグ,A
biko,text,RString,,,,,備考,A
basho,text,RString,,,,,場所,A
chushajo,text,RString,,,,,駐車場,A
tachiainin1,text,RString,,,,,立会人１,A
renrakusaki1,UDD026TelNo,TelNo,,,,,連絡先１,A
tachiainin2,text,RString,,,,,立会人２,A
renrakusaki2,UDD026TelNo,TelNo,,,,,連絡先２,A
taishoshaMemo,text,RString,,,,,対象者メモ,A
