shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
kamokuCode,UDD024KamokuCode,KamokuCode,,,,,科目コード,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,決定年月日,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shiharaiHohoKubun,bpchar,RString,,,,,支払方法区分,A
madoguchiShiharaiBashoCode,UDD035Code,Code,,,,,窓口支払場所コード,A
madoguchiShiharaiKaishiYMDHM,UDD017YMDHM,YMDHM,,,,,窓口支払開始年月日時分,A
madoguchiShiharaiShuryoYMDHM,UDD017YMDHM,YMDHM,,,,,窓口支払終了年月日時分,A
furikomiYoteiYMD,UDD015YMD,FlexibleDate,,,,,振込予定年月日,A
shiharaiKingaku,int4,int,,,,,支払金額,A
syubetsuCode,UDD035Code,Code,,,,,種別コード,A
yotoKubunCode,UDD035Code,Code,,,,,用途区分コード,A
ninshoYMD1,UDD015YMD,FlexibleDate,,,,,認証日１,A
ninshoshaCode1,UDD033NinshoshaCode,NinshoshaCode,,,,,認証者コード１,A
ninshoYMD2,UDD015YMD,FlexibleDate,,,,,認証日２,A
ninshoshaCode2,UDD033NinshoshaCode,NinshoshaCode,,,,,認証者コード２,A
