motoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,送信元市町村コード,A
sakiShichosonCode,UDD023LasdecCode,LasdecCode,,,,,送信先市町村コード,A
shubetsu,varchar,RString,,,,,種別,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,有効開始年月日,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,有効終了年月日,A
rendoKeitaiCode,varchar,RString,,,,,連動形態コード,A
motoFormatVersion,varchar,RString,,,,,送信元フォーマットバージョン,A
motoEncodeKeitai,varchar,RString,,,,,送信元エンコーディング,A
sakiFormatVersion,varchar,RString,,,,,送信先フォーマットバージョン,A
sakiEncodeKeitai,varchar,RString,,,,,送信先エンコーディング,A
codeHenkanKubun,varchar,RString,,,,,コード変換区分,A
gaijiHenkanKubun,varchar,RString,,,,,外字変換区分,A
zenkenRendoKubun,varchar,RString,,,,,全件連動区分,A
rendoKubun,varchar,RString,,,,,連携区分,A
renkeiFileName,varchar,RString,,,,,連携ファイル名,A
