subGyomuCode,UDD055SubGyomuCode,SubGyomuCode,,,,,サブ業務コード,A
chohyoBunruiID,UDD032ReportId,ReportId,,,,,帳票分類ID,A
chohyoBunruiMeisho,varchar,RString,,,,,帳票分類名称,A
jushoHenshuKubun,varchar,RString,,,,,住所編集区分,A
jushoHenshuTodoufukenMeiHyojiUmu,bool,boolean,,,,,住所編集都道府県名表示有無,A
jushoHenshuGunMeiHyojiUmu,bool,boolean,,,,,住所編集郡名表示有無,A
jushoHenshuShichosonMeiHyojiUmu,bool,boolean,,,,,住所編集市町村名表示有無,A
jushoHenshuChoikiHenshuHoho,varchar,RString,,,,,住所編集町域編集方法,A
jushoHenshuKatagakiHyojiUmu,bool,boolean,,,,,住所編集方書表示有無,A
SetainushiHyojiUmu,bool,boolean,,,,,世帯主表示有無,A
customerBarCodeShiyoUmu,bool,boolean,,,,,カスタマバーコード使用有無,A
customerBarCodeHenkanErrHenshuHoho,varchar,RString,,,,,カスタマバーコード変換エラー編集方法,A
gaibuChohyoMojigireSeigyo,varchar,RString,,,,,外部帳票文字切れ制御,A
naibuChohyoMojigireSeigyo,varchar,RString,,,,,内部帳票文字切れ制御,A
mojigireBunriSeigyo,varchar,RString,,,,,文字切れ分離制御,A
teikeibunMojiSize,varchar,RString,,,,,定型文文字サイズ,A
kozaMaskUmu,bool,boolean,,,,,口座マスク有無,A
kozaMeigininKanaYusenKubun,varchar,RString,,,,,口座名義人カナ優先区分,A
daikoPrintUmu,bool,boolean,,,,,代行プリント有無,A
chikuHyoji1,varchar,RString,,,,,地区表示1,A
chikuHyoji2,varchar,RString,,,,,地区表示2,A
chikuHyoji3,varchar,RString,,,,,地区表示3,A
