subGyomuCode,UDD055SubGyomuCode,SubGyomuCode,,,,,サブ業務コード,A
chohyoBunruiID,UDD032ReportId,ReportId,,,,,帳票分類ID,A
kyotsuGamenShiyoUmu,bool,boolean,,,,,共通画面使用有無,A
bunshoNoShiyoKubun,varchar,RString,,,,,文書番号使用区分,A
tsuchishoTeikeibunShiyoKubun,varchar,RString,,,,,通知書定型文使用区分,A
ninshoshaShiyoKubun,varchar,RString,,,,,認証者使用区分,A
chohyoShuturyokujunShiyoKubun,varchar,RString,,,,,帳票出力順使用区分,A
chohyoShuturyokujunHyojiHohho,varchar,RString,,,,,帳票出力順表示方法,A
kaigoToiawasesakiShiyoKubun,varchar,RString,,,,,介護問合せ先使用区分,A
jushoHenshuShiyoKubun,varchar,RString,,,,,住所編集使用区分,A
setainushiHyojiShiyoKubun,varchar,RString,,,,,世帯主表示使用区分,A
dainoninHyojiShiyoKubun,varchar,RString,,,,,代納人表示使用区分,A
customerBarCodeShiyoKubun,varchar,RString,,,,,カスタマバーコード使用区分,A
gaibuChohyoMojigireSeigyoShiyoKubun,varchar,RString,,,,,外部帳票文字切れ制御使用区分,A
naibuChohyoMojigireSeigyoShiyoKubun,varchar,RString,,,,,内部帳票文字切れ制御使用区分,A
mojigireBunriSeigyoShiyoKubun,varchar,RString,,,,,文字切れ分離制御使用区分,A
teikeibunMojiSizeShiyoKubun,varchar,RString,,,,,定型文文字サイズ使用区分,A
kozaMaskShiyoKubun,varchar,RString,,,,,口座マスク使用区分,A
kozaMeigininKanaYusenShiyoKubun,varchar,RString,,,,,口座名義人カナ優先使用区分,A
daikoPrintShiyoKubun,varchar,RString,,,,,代行プリント使用区分,A
chikuhyojiShiyoKubun,varchar,RString,,,,,地区表示使用区分,A
