jigyoshaKeiyakuNo,varchar,RString,,,,,jigyoshaKeiyakuNo,A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,kaishiYMD,A
rirekiNo,int2,int,,,,,rirekiNo,A
shuryoYMD,UDD015YMD,FlexibleDate,,,,,shuryoYMD,A
todokedeYMD,UDD015YMD,FlexibleDate,,,,,todokedeYMD,A
todokedeAddress,varchar,RString,,,,,todokedeAddress,A
todokedeJigyoshaName,varchar,RString,,,,,todokedeJigyoshaName,A
todokedeDaihyoshaName,varchar,RString,,,,,todokedeDaihyoshaName,A
kozaShubetsu,varchar,RString,,,,,kozaShubetsu,A
kozaNo,varchar,RString,,,,,kozaNo,A
tsuchoKigo,varchar,RString,,,,,tsuchoKigo,A
tsuchoNo,varchar,RString,,,,,tsuchoNo,A
kozaMeiginin,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,kozaMeiginin,A
kozaMeigininKanji,UDD042AtenaMeisho,AtenaMeisho,,,,,kozaMeigininKanji,A
jigyoshaFaxNo,UDD026TelNo,TelNo,,,,,jigyoshaFaxNo,A
keiyakuTorokuYMD,UDD015YMD,FlexibleDate,,,,,keiyakuTorokuYMD,A
sofusakiBusho,varchar,RString,,,,,sofusakiBusho,A
eigyoKeitai,varchar,RString,,,,,eigyoKeitai,A
jutakuKaishuKeiyakuUmu,bool,boolean,,,,,jutakuKaishuKeiyakuUmu,A
tokuteiFukushiYoguHanbaiKeiyakuUmu,bool,boolean,,,,,tokuteiFukushiYoguHanbaiKeiyakuUmu,A
shokanbaraiKyufuKeiyakuUmu,bool,boolean,,,,,shokanbaraiKyufuKeiyakuUmu,A
kogakuKyufuKeiyakuUmu,bool,boolean,,,,,kogakuKyufuKeiyakuUmu,A
keiyakuJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,keiyakuJigyoshaNo,A
toriatsukaiKakuyakushoUmu,bool,boolean,,,,,toriatsukaiKakuyakushoUmu,A
