nendo,UDD012YSeireki,FlexibleYear,,,,,nendo,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
rirekiNo,int2,int,,,,,rirekiNo,A
hakoFuyoFlag,bool,boolean,,,,,hakoFuyoFlag,A
shokenFlag,bool,boolean,,,,,shokenFlag,A
hanteiYMD,UDD015YMD,FlexibleDate,,,,,hanteiYMD,A
hanteiKubun,varchar,RString,,,,,hanteiKubun,A
koseiJiyu,UDD035Code,Code,,,,,koseiJiyu,A
hakoKubun,varchar,RString,,,,,hakoKubun,A
hakoYMD,UDD015YMD,FlexibleDate,,,,,hakoYMD,A
kofuYMD,UDD015YMD,FlexibleDate,,,,,kofuYMD,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
edaNo,int2,int,,,,,edaNo,A
shikakuKubun,varchar,RString,,,,,shikakuKubun,A
futanWariaiKubun,varchar,RString,,,,,futanWariaiKubun,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,yukoKaishiYMD,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,yukoShuryoYMD,A
honninGoukeiShotokuGaku,numeric,Decimal,,,,,honninGoukeiShotokuGaku,A
setaiIchigouHihokenshaSu,int2,int,,,,,setaiIchigouHihokenshaSu,A
nenkinShunyuGoukei,numeric,Decimal,,,,,nenkinShunyuGoukei,A
sonotanoGoukeiShotokuKingakuGoukei,numeric,Decimal,,,,,sonotanoGoukeiShotokuKingakuGoukei,A
koseiRiyu,text,RString,,,,,koseiRiyu,A
setaiCd,UDD051SetaiCode,SetaiCode,,,,,setaiCd,A
meisailogicalDeletedFlag,bool,boolean,,,,,meisailogicalDeletedFlag,A
