kozaId,int8,long,,,,,口座ID,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
gyomuCode,UDD002GyomuCode,GyomuCode,,,,,業務コード,A
subGyomuCode,UDD055SubGyomuCode,SubGyomuCode,,,,,サブ業務コード,A
kamokuCode,UDD024KamokuCode,KamokuCode,,,,,科目コード,A
gyomuKoyuKey,varchar,RString,,,,,業務固有キー,A
yotoKubun,UDD035Code,Code,,,,,用途区分,A
kinyuKikanCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,金融機関コード,A
kinyuKikanShitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,支店コード,A
yokinShubetsu,varchar,RString,,,,,預金種別,A
kozaNo,varchar,RString,,,,,口座番号,A
tsuchoKigo,varchar,RString,,,,,通帳記号,A
tsuchoNo,varchar,RString,,,,,通帳番号,A
kozaMeigininShikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,口座名義人識別コード,A
kozaMeiginin,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,口座名義人,A
kozaMeigininKanji,UDD042AtenaMeisho,AtenaMeisho,,,,,口座名義人漢字,A
kaishiYMD,UDD016Date,RDate,,,,,開始年月日,A
shuryoYMD,UDD016Date,RDate,,,,,終了年月日,A
kensakuyoMeiginin,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,検索用名義人,A
kozaHyojiKubun,bpchar,RString,,,,,口座表示区分,A
nayoseKubun,bool,boolean,,,,,名寄区分,A
zumitsuHakkoYohi,bool,boolean,,,,,領収済通知書発行要否,A
kozaFurikaeKaishiTsuchiHakkozumi,bool,boolean,,,,,口座振替開始通知書発行済,A
kozaTorokuNo,varchar,RString,,,,,口座登録番号,A
kozaTorokuKubunCode,UDD035Code,Code,,,,,口座登録区分コード,A
kozaKaishiUketsukeYMD,UDD016Date,RDate,,,,,口座開始受付年月日,A
kozaShuryoUketsukeYMD,UDD016Date,RDate,,,,,口座終了受付年月日,A
kozaTorokuYMD,UDD016Date,RDate,,,,,口座登録年月日,A
temban,varchar,RString,,,,,店番,A
