shotokuNendo,UDD012YSeireki,FlexibleYear,,,,,shotokuNendo,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
rirekino,int8,Decimal,,,,,rirekino,A
kazeiKubun,varchar,RString,,,,,kazeiKubun,A
kazeiKubunGemmenGo,varchar,RString,,,,,kazeiKubunGemmenGo,A
gokeiShotokuGaku,numeric,Decimal,,,,,gokeiShotokuGaku,A
nenkiniShunyuGaku,numeric,Decimal,,,,,nenkiniShunyuGaku,A
nenkiniShotokuGaku,numeric,Decimal,,,,,nenkiniShotokuGaku,A
kazeiShotokuGaku,numeric,Decimal,,,,,kazeiShotokuGaku,A
gekihenKanwaKubun,varchar,RString,,,,,gekihenKanwaKubun,A
yusebKubun,varchar,RString,,,,,yusebKubun,A
shoriYMD,UDD018YMDHMS,YMDHMS,,,,,shoriYMD,A
motoRirekiNo,int2,int,,,,,motoRirekiNo,A
torokuGyomu,unknown,RString,,,,,torokuGyomu,A
