jigyoshaNo,UDD060KaigoJigyoshaNo,KaigoJigyoshaNo,,,,,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
idoYMD,UDD015YMD,FlexibleDate,,,,,A
idoJiyuCode,varchar,RString,,,,,A
jigyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoKyushiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoSaikaiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoHaishiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,A
jigyoshaNameKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
yubinNo,UDD003YubinNo,YubinNo,,,,,A
jigyoshaAddress,UDD046AtenaJusho,AtenaJusho,,,,,A
jigyoshaKanaAddress,varchar,RString,,,,,A
telNo,UDD026TelNo,TelNo,,,,,A
faxNo,UDD026TelNo,TelNo,,,,,A
atesakiBusho,varchar,RString,,,,,A
atesakininName,UDD042AtenaMeisho,AtenaMeisho,,,,,A
atesakininNamekana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
ginkoCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,A
shitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,A
kozaShubetsu,UDD035Code,KozaShurui,,,,,A
kozaNo,varchar,RString,,,,,A
kozaMeiginin,UDD042AtenaMeisho,AtenaMeisho,,,,,A
kozaMeigininKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
shiteiKijungaitoJigyoshaKubun,UDD035Code,ShiteiKijunGaitoJigyoshoKubun,,,,,A
shozaiShichoson,varchar,RString,,,,,A
serviceJisshiChiiki,varchar,RString,,,,,A
hojinShubetsu,UDD035Code,HojinsShubetsu,,,,,A
bedSu,int2,int,,,,,A
shozokuNinzu,int4,int,,,,,A
riyoshaSu,int4,int,,,,,A
biko,varchar,RString,,,,,A
